,id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbEmptyDocks,nbDocks
178,185,"Alderney Street, Pimlico",001174,51.48805753,-0.140741432,true,false,1279365360000,,false,8,6,14
179,186,"South Wharf Road, Paddington",001167,51.51733558,-0.175810943,true,false,1279365480000,,false,10,5,16
180,187,"Queen's Gate (South), South Kensington",001172,51.49247977,-0.178433004,true,false,1279365720000,,false,20,3,25
181,188,"Nutford Place, Marylebone",001112,51.5165179,-0.164393768,true,false,1279376760000,,false,14,4,18
182,189,"Claremont Square, Angel",001104,51.53166681,-0.109914711,true,false,1279377180000,,false,10,7,18
183,190,"Rampayne Street, Pimlico",001106,51.48997562,-0.132845681,true,false,1279381080000,,false,12,9,21
184,191,"Hyde Park Corner, Hyde Park",001075,51.50311799,-0.153520935,true,false,1279383120000,,false,9,18,28
185,192,"Wardour Street, Soho",001163,51.51251523,-0.133201961,true,false,1279383300000,,false,7,7,16
186,193,"Bankside Mix, Bankside",000963,51.50581776,-0.100186337,true,false,1279392479356,,false,34,23,60
187,194,"Hop Exchange, The Borough",000960,51.50462759,-0.091773776,true,false,1279392479395,,false,4,42,49
188,195,"Milroy Walk, South Bank",000959,51.50724437,-0.106237501,true,false,1279392479432,,false,13,13,30
189,196,"Union Street, The Borough",000961,51.50368837,-0.098497684,true,false,1279392479471,,false,12,3,17
190,197,"Stamford Street, South Bank",000962,51.50556905,-0.111606696,true,false,1279392479520,,false,26,0,27
191,199,"Great Tower Street, Monument",001080,51.51048489,-0.082989638,true,false,1279441800000,,false,3,20,24
192,200,"LMU Commercial Road, Whitechapel",001105,51.51492456,-0.066078037,true,false,1279441920000,,false,0,13,14
193,201,"Dorset Square, Marylebone",001162,51.5225965,-0.161113413,true,false,1279444080000,,false,7,9,16
194,202,"Leman Street, Aldgate",001102,51.51236389,-0.06954201,true,false,1279444320000,,false,13,24,37
195,203,"West Smithfield Rotunda, Farringdon",001040,51.51821864,-0.100791005,true,false,1279445580000,,false,7,4,15
196,204,"Margery Street, Clerkenwell",003468,51.52659961,-0.112432615,true,false,1279466640000,,false,11,8,19
197,206,"New Road 1 , Whitechapel",001171,51.518154,-0.062697,true,false,1279471380000,,false,2,33,36
198,207,"Grosvenor Crescent, Belgravia",001169,51.50135267,-0.153194766,true,false,1279558140000,,false,10,7,18
199,208,"Mallory Street, Marylebone",001175,51.52505151,-0.166304359,true,false,1279472580000,,false,1,17,20
200,209,"Denyer Street, Knightsbridge",003454,51.49358391,-0.165101392,true,false,1279529160000,,false,11,19,30
201,210,"Hinde Street, Marylebone",003476,51.51681444,-0.151926305,true,false,1279535160000,,false,9,10,21
202,211,"Cadogan Place, Knightsbridge",003469,51.49464523,-0.158105512,true,false,1279535820000,,false,10,24,34
203,212,"Campden Hill Road, Notting Hill",003487,51.50658458,-0.199004026,true,false,1279536840000,,false,1,16,17
204,213,"Wellington Arch, Hyde Park",001109,51.50274025,-0.149569201,true,false,1279537020000,,false,15,21,36
205,214,"Endsleigh Gardens, Euston",001079,51.52683806,-0.130504336,true,false,1279537200000,,false,23,8,32
206,215,"Moorfields, Moorgate",001092,51.51906932,-0.088285377,true,false,1279537380000,,false,7,47,54
207,216,"Old Brompton Road, South Kensington",003479,51.49094565,-0.181190899,true,false,1279537920000,,false,17,12,30
208,217,"Wormwood Street, Liverpool Street",002587,51.51615461,-0.082422399,true,false,1279538040000,,false,7,8,16
209,218,"St. Luke's Church, Chelsea",003486,51.48971651,-0.170194408,true,false,1279543740000,,false,13,7,20
210,219,"Bramham Gardens, Earl's Court",001183,51.49016361,-0.19039362,true,false,1279545900000,,false,22,7,29
211,220,"Chelsea Green, Chelsea",001179,51.49066456,-0.166485083,true,false,1279546320000,,false,9,17,27
212,221,"Horseferry Road, Westminster",001170,51.49481649,-0.13045856,true,false,1279552200000,,false,6,7,16
213,222,"Knightsbridge, Hyde Park",001101,51.50275704,-0.155349725,true,false,1279614120000,,false,14,28,43
214,223,"Rodney Road , Walworth",003481,51.49148474,-0.090220911,true,false,1279614420000,,false,15,8,24
215,224,"Whiteley's, Bayswater",001150,51.51476963,-0.188129731,true,false,1279615020000,,false,12,4,16
216,225,"Notting Hill Gate Station, Notting Hill",001182,51.50935342,-0.196422,true,false,1279616280000,,false,2,28,30
217,226,"Charles II Street, West End",003488,51.50844614,-0.131961389,true,false,1279616520000,,false,10,13,24
218,227,"Great Percy Street, Clerkenwell",003470,51.52891573,-0.115480888,true,false,1279616700000,,false,9,14,23
219,228,"St. James's Square, St. James's",001067,51.50742485,-0.134621209,true,false,1279616880000,,false,11,29,40
